–Ú∫≈,¡˜ÀÆ∫≈,∆ΩÃ®ª·‘±±‡∫≈, ÷ª˙∫≈(—°ÃÓ),÷§º˛∫≈¬Î,ª·‘±–’√˚,ø®∫≈(—°ÃÓ),”√ªßΩ«…´, ⁄»®¿‡–Õ¡–±Ì(—°ÃÓ√∂æŸ¿‡–Õµÿ÷∑∑˚∫≈∏Ùø™),÷§º˛¿‡–Õ(—°ÃÓƒ¨»œPRC_ID)
13001,2272972134022185998,U2262966424072881205,,330281198605120091,≤‚ ‘2474091,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13002,2272972134022185999,U2262966424072881206,,330281198605120091,≤‚ ‘2475247,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13003,2272972134022186000,U2262966424072881207,,330281198605120091,≤‚ ‘2475577,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13004,2272972134022186001,U2262966424072881208,,330281198605120091,≤‚ ‘2477095,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13005,2272972134022186002,U2262966424072881209,,330281198605120091,≤‚ ‘2477405,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13006,2272972134022186003,U2262966424072881210,,330281198605120091,≤‚ ‘2477527,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13007,2272972134022186004,U2262966424072881211,,330281198605120091,≤‚ ‘2477791,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13008,2272972134030574596,U2262966424072881212,,330281198605120091,≤‚ ‘2479013,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13009,2272972134030574597,U2262966424072881213,,330281198605120091,≤‚ ‘2480345,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13010,2272972134030574598,U2262966424072881214,,330281198605120091,≤‚ ‘2480365,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
13011,2272972134030574599,U2262966424072881215,,330281198605120091,≤‚ ‘2480531,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID,
