序号,流水号,平台会员编号,手机号(选填),证件号码,会员姓名,卡号(选填),用户角色,授权类型列表(选填枚举类型地址符号隔开),证件类型(选填默认PRC_ID)
13001,2282972134022185998,U2262966424072881205,,330281198605120091,测试2474091,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13002,2282972134022185999,U2262966424072881206,,330281198605120091,测试2475247,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13003,2282972134022186000,U2262966424072881207,,330281198605120091,测试2475577,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13004,2282972134022186001,U2262966424072881208,,330281198605120091,测试2477095,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13005,2282972134022186002,U2262966424072881209,,330281198605120091,测试2477405,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13006,2282972134022186003,U2262966424072881210,,330281198605120091,测试2477527,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13007,2282972134022186004,U2262966424072881211,,330281198605120091,测试2477791,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13008,2282972134030574596,U2262966424072881212,,330281198605120091,测试2479013,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13009,2282972134030574597,U2262966424072881213,,330281198605120091,测试2480345,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13010,2282972134030574598,U2262966424072881214,,330281198605120091,测试2480365,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13011,2282972134030574599,U2262966424072881215,,330281198605120091,测试2480531,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13012,2282972134030574600,U2262966424072881216,,330281198605120091,测试2480571,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13013,2282972134030574601,U2262966424072881217,,330281198605120091,测试2480895,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13014,2282972134030574602,U2262966424072881218,,330281198605120091,测试2481123,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13015,2282972134030574603,U2262966424072881219,,330281198605120091,测试2481221,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13016,2282972134030574604,U2262966424072881220,,330281198605120091,测试2481283,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13017,2282972134030574605,U2262966424072881221,,330281198605120091,测试2481431,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13018,2282972134030574606,U2262966424072881222,,330281198605120091,测试2481777,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13019,2282972134030574607,U2262966424072881223,,330281198605120091,测试2481827,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13020,2282972134030574608,U2262966424072881224,,330281198605120091,测试2482021,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13021,2282972134030574609,U2262966424072881225,,330281198605120091,测试2482031,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13022,2282972134030574610,U2262966424072881226,,330281198605120091,测试2482455,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13023,2282972134030574611,U2262966424072881227,,330281198605120091,测试2482715,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13024,2282972134030574612,U2262966424072881228,,330281198605120091,测试2482935,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13025,2282972134038963200,U2262966424072881229,,330281198605120091,测试2483033,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13026,2282972134038963201,U2262966424072881230,,330281198605120091,测试2483199,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13027,2282972134038963202,U2262966424072881231,,330281198605120091,测试2483819,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13028,2282972134038963203,U2262966424072881232,,330281198605120091,测试2484075,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13029,2282972134038963204,U2262966424072881233,,330281198605120091,测试2484507,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13030,2282972134038963205,U2262966424072881234,,330281198605120091,测试2484905,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13031,2282972134038963206,U2262966424072881235,,330281198605120091,测试2485127,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13032,2282972134038963207,U2262966424072881236,,330281198605120091,测试2485269,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13033,2282972134038963208,U2262966424072881237,,330281198605120091,测试2485481,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13034,2282972134038963209,U2262966424072881238,,330281198605120091,测试2485513,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13035,2282972134038963210,U2262966424072881239,,330281198605120091,测试2485551,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13036,2282972134038963211,U2262966424072881240,,330281198605120091,测试2485769,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13037,2282972134038963212,U2262966424072881241,,330281198605120091,测试2485797,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13038,2282972134038963213,U2262966424072881242,,330281198605120091,测试2486103,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13039,2282972134038963214,U2262966424072881243,,330281198605120091,测试2486261,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13041,2282972134038963216,U2262966424072881245,,330281198605120091,测试2486901,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
13042,2282972134038963217,U2262966424072881246,,330281198605120091,测试2487541,6222021208017891373,GUARANTEECORP,REPAYMENT,PRC_ID
